Week,Fecha Act,SumaDeBEGINNER NAV,SumaDeCLOSE TRADE,SumaDeNET LIQUID VALUE,SumaDeLIQUIDACION,SumaDeCASH NAV,SumaDeOPEN CASH FLOW,SumaDeFREE CASH,SumaDeTRADING,Fondo,CloseTrade_BRUTO
Week Mar 13 to 17,2023-03-17,1302050.0,80582.0,1367018.0,0.0,1410678.0,43660.0,967726.0,399292.0,ESP,
Week Mar 20 to 24,2023-03-20,1302050.0,80582.0,1367018.0,0.0,1410678.0,43660.0,967726.0,399292.0,ESP,
Week Mar 27 to 31,2023-03-31,1473550.0,80582.0,1538518.0,0.0,1591058.0,52540.0,1029688.0,508830.0,ESP,
Week Apr 3 to 7,2023-04-03,1473550.0,80582.0,1538518.0,0.0,1591058.0,52540.0,1029688.0,508830.0,ESP,
Week Apr 10 to 14,2023-04-11,1473550.0,80582.0,1538518.0,0.0,1591058.0,52540.0,1029688.0,508830.0,ESP,
Week Apr 17 to 21,2023-04-18,1473550.0,80582.0,1538518.0,0.0,1591058.0,52540.0,1029688.0,508830.0,ESP,
Week Apr 24 to 28,2023-04-25,1599550.0,80582.0,1664518.0,0.0,1717058.0,52540.0,1155688.0,508830.0,ESP,
Week May 1 to 5,2023-05-04,1749089.0,80582.0,1797057.0,0.0,1853858.0,56801.0,1252757.0,544300.0,ESP,
Week May 8 to 12,2023-05-12,1758469.0,80582.0,1802437.0,0.0,1859238.0,56801.0,1258137.0,544300.0,ESP,
Week May 15 to 19,2023-05-19,1768469.0,80582.0,1812437.0,4336.0,1879824.0,67387.0,642436.0,1170001.0,ESP,
Week May 22 to 26,2023-05-24,1768469.0,86823.0,1808178.0,1298.0,1878746.0,70559.0,638177.0,1170001.0,ESP,
Week May 29 to 2,2023-06-01,1768469.0,88335.0,1809690.0,2115.0,1886372.0,76673.0,511879.0,1297811.0,ESP,
Week Jun 5 to 9,2023-06-09,1768469.0,92562.0,1813917.0,2485.0,1891982.0,78056.0,254806.0,1559111.0,ESP,
Week Jun 12 to 16,2023-06-16,1818969.0,97541.0,1878596.0,0.0,1956661.0,78056.0,449395.0,1429197.0,ESP,
Week Jun 19 to 23,2023-06-23,1844969.0,113564.0,1920619.0,17766.0,2051329.0,130701.0,409516.0,1511099.0,ESP,
Week Jun 26 to 30,2023-06-30,1844969.0,120272.0,1927327.0,0.0,2058037.0,130701.0,416224.0,1511099.0,ESP,
Week Jul 3 to 7,2023-07-07,1844969.0,123512.0,1930567.0,628.0,2062939.0,132363.0,76525.0,1854038.0,ESP,
Week Jul 10 to 14,2023-07-14,1844969.0,131966.0,1939021.0,3461.0,2071393.0,132363.0,84979.0,1854038.0,ESP,
Week Jul 17 to 21,2023-07-20,1844969.0,131966.0,1939021.0,3461.0,2071393.0,132363.0,84979.0,1854038.0,ESP,
Week Jul 24 to 28,2023-07-28,1850552.0,131966.0,1944604.0,3461.0,2076976.0,132363.0,90562.0,1858038.0,ESP,
Week Jul 31 to 4,2023-07-28,1850552.0,131966.0,1944604.0,3461.0,2076976.0,132363.0,90562.0,1858038.0,ESP,
Week Agu 7 to 11,2023-08-09,1905552.0,155785.0,2023423.0,9765.0,2155795.0,132363.0,169381.0,1858038.0,ESP,
Week Agu 14 to 18,2023-08-17,1942014.0,137953.0,1949816.0,9375.0,2073237.0,123412.0,200444.0,1753369.0,ESP,
Week Agu 21 to 25,2023-08-17,1942014.0,137953.0,1949816.0,9375.0,2073237.0,123412.0,200444.0,1753369.0,ESP,
Week Agu 28 to 1,2023-08-31,1977014.0,137953.0,1984816.0,9375.0,2108237.0,123412.0,235444.0,1753369.0,ESP,
Week Sep 4 to 8,2023-09-08,1977014.0,137953.0,1984816.0,0.0,2141922.0,157097.0,563668.0,1425145.0,ESP,
Week Sep 11 to 15,2023-09-14,2072014.0,137953.0,2079816.0,0.0,2205891.0,159419.0,633797.0,1450016.0,ESP,
Week Sep 18 to 22,2023-09-21,2122014.0,190801.0,2182664.0,0.0,2255891.0,106571.0,1361469.0,825192.0,ESP,
Week Sep 25 to 29,2023-09-27,2153064.0,190801.0,2213714.0,0.0,2286941.0,106571.0,1392519.0,825192.0,ESP,
Week Oct 2 to 6,2023-10-03,2353064.0,187903.0,2364667.0,0.0,2472041.0,107365.0,1532339.0,836325.0,ESP,
Week Oct 9 to 13,2023-10-11,2383064.0,187903.0,2384667.0,0.0,2492041.0,107365.0,1552339.0,836325.0,ESP,
Week Oct 16 to 20,2023-10-16,2402064.0,187903.0,2403667.0,0.0,2511041.0,107365.0,1571339.0,836325.0,ESP,
Week Oct 23 to 27,2023-10-19,2502064.0,187903.0,2498667.0,0.0,2498667.0,107365.0,1666339.0,836325.0,ESP,
Week Oct 30 to 3,2023-10-19,2502064.0,187903.0,2498667.0,0.0,2498667.0,107365.0,1666339.0,836325.0,ESP,
Week Nov 6 to 10,2023-11-09,2512064.0,256371.0,2562135.0,0.0,2621885.0,59741.0,1936991.0,629144.0,ESP,
Week Nov 13 to 17,2023-11-09,2512064.0,256371.0,2562135.0,0.0,2621885.0,59741.0,1936991.0,629144.0,ESP,
Week Nov 20 to 24,2023-11-21,2702064.0,263246.0,2851571.0,0.0,3022124.0,170544.0,731002.0,2124569.0,ESP,
Week Nov 27 to 1,2023-11-27,2712064.0,263246.0,2859071.0,0.0,3038131.0,179051.0,602984.0,2260087.0,ESP,
Week Dec 4 to 8,2023-12-07,2712064.0,295075.0,2888900.0,0.0,3036131.0,147222.0,1094773.0,1798126.0,ESP,
Week Dec 11 to 15,2023-12-15,2718846.0,295075.0,2895682.0,0.0,3043003.0,147222.0,1101645.0,1798126.0,ESP,
Week Dec 18 to 22,2023-12-22,2718846.0,322878.0,2909876.0,0.0,3057197.0,147222.0,1115839.0,1798126.0,ESP,
Week Dec 25 to 29,2023-12-29,2718846.0,322878.0,2901551.0,0.0,3048872.0,147222.0,1107514.0,1798126.0,ESP,
Week Jan 1 to 5,2024-01-05,2782346.0,352878.0,2965051.0,0.0,3112372.0,147222.0,1171014.0,1798126.0,ESP,
Week Jan 8 to 12,2024-01-11,2782346.0,336182.0,2978355.0,0.0,3163085.0,184624.0,1184318.0,1798126.0,ESP,
Week Jan 15 to 19,2024-01-19,2817346.0,336182.0,3011855.0,0.0,3196585.0,184624.0,1217818.0,1798126.0,ESP,
Week Jan 22 to 26,2024-01-25,2817346.0,334532.0,3000205.0,0.0,3184175.0,183865.0,1227427.0,1789277.0,ESP,
Week Jan 29 to 2,2024-01-30,2847346.0,379732.0,3052177.0,0.0,3190947.0,138665.0,1279399.0,1359380.0,ESP,
Week Jan 29 to 2,2024-02-01,2817346.0,363670.807743073,2957115.79980469,0.0,3344709.85253906,387493.045959473,1249290.00439453,1707825.80322266,ESP,
Week Feb 5 to 9,2024-02-09,3104846.0,363913.802112579,3234958.79394531,0.0,3624250.82714844,389191.026428223,1510932.99853516,1724025.80322266,ESP,
Week Feb 12 to 16,2024-02-16,3187846.0,363913.802112579,3303095.26074219,0.0,3692386.32714844,389191.026428223,1575934.34521484,1724025.80322266,ESP,
Week Feb 19 to 23,2024-02-21,3187846.0,363913.802112579,3281095.26074219,0.0,3670386.32714844,389191.026428223,1553934.34521484,1724025.80322266,ESP,
Week Feb 26 to 1,2024-03-01,3241652.0,362978.802112579,3323965.80761719,0.0,3712003.31152344,387938.026428223,1602130.88623047,1718699.80322266,ESP,
